MONTLUCON,+25.74,1451.74
MARCQ-EN-BAROEUL,+17.82,3044.74
TOURCOING,+17.08,2431.18
VAULX-EN-VELIN,+12.48,2340.91
BAYONNE,+7.87,3318.47
MELUN,+7.70,2936.88
SAINT-ETIENNE,+7.14,1879.06
MEAUX,+6.82,2969.27
LEHAVRE,+6.75,2666.56
ROUBAIX,+6.59,2194.00
GAGNY,+6.24,3328.11
BOBIGNY,+6.16,3403.23
ARRAS,+5.83,2616.89
BRON,+5.71,2605.64
BEZIERS,+5.55,1818.89
SAINT-OUEN,+5.44,4089.13
CAEN,+5.37,2687.87
CERGY,+5.17,2907.35
LEPERREUX-SUR-MARNE,+5.05,4543.82
SETE,+5.01,2879.43
CHOLET,+4.37,1575.00
CANNES,+4.12,5615.71
NEUILLY-SUR-MARNE,+4.10,2955.21
BOULOGNE-BILLANCOURT,+4.04,6426.89
LEVALLOIS-PERRET,+4.03,6617.74
MASSY,+3.87,3466.47
MONTROUGE,+3.85,5381.10
DRAGUIGNAN,+3.71,2727.45
TOURS,+3.70,2555.89
METZ,+3.50,2296.07
COLMAR,+3.49,2258.58
SAINT-DENIS,+3.49,3274.95
ANNECY,+3.46,3620.54
FRANCONVILLE,+3.29,3077.76
HOUILLES,+3.26,3813.08
SAINT-RAPHAEL,+3.25,4667.19
CORBEIL-ESSONNES,+3.06,3162.37
DRANCY,+2.96,3426.19
HYERES,+2.96,3891.01
VILLEFRANCHE-SUR-SAONE,+2.76,2327.05
RUEIL-MALMAISON,+2.69,4924.76
ASNIERES-SUR-SEINE,+2.67,4560.26
NIMES,+2.66,2388.65
VANNES,+2.65,2800.42
SARCELLES,+2.62,2245.91
ISSY-LES-MOULINEAUX,+2.57,5797.02
ORLEANS,+2.53,2384.98
VILLEJUIF,+2.45,3665.96
ROANNE,+2.34,1361.37
PLAISIR,+2.25,3064.23
PARIS,+2.18,7950.91
LIVRY-GARGAN,+2.16,3248.04
NANTES,+2.11,2984.79
COURBEVOIE,+2.01,5187.55
MONTREUIL,+1.99,3957.46
ARGENTEUIL,+1.91,3054.79
MONTELIMAR,+1.90,2041.26
NARBONNE,+1.73,2297.98
SAINT-BRIEUC,+1.58,1603.33
MACON,+1.58,1767.09
MEUDON,+1.44,5441.81
SAINTE-GENEVIEVE-DES-BOIS,+1.42,3087.41
MERIGNAC,+1.41,2372.01
VILLEURBANNE,+1.40,2756.21
POISSY,+1.37,3565.23
ANTIBES,+1.37,4686.14
BOURG-EN-BRESSE,+1.32,2063.51
ROSNY-SOUS-BOIS,+1.32,3224.71
SIX-FOURS-LES-PLAGES,+1.22,4180.43
SURESNES,+1.22,5488.79
BLOIS,+1.13,1645.72
ANTONY,+1.11,4431.39
HAGUENAU,+1.09,2298.08
NANTERRE,+1.08,4207.89
BIARRITZ,+1.07,4574.18
CHELLES,+1.04,3209.30
PANTIN,+1.00,4097.25
LAROCHELLE,+0.98,3464.55
LILLE,+0.97,2960.88
NEUILLY-SUR-SEINE,+0.94,8330.98
TROYES,+0.92,1742.63
MONTIGNY-LE-BRETONNEUX,+0.91,3510.23
MAISONS-ALFORT,+0.84,4197.80
BELFORT,+0.83,1694.25
NOISY-LE-GRAND,+0.80,3306.92
CAGNES-SUR-MER,+0.79,4418.10
AMIENS,+0.76,2423.04
SAINT-MAUR-DES-FOSSES,+0.69,4512.66
EPINAY-SUR-SEINE,+0.68,2566.41
CALUIRE-ET-CUIRE,+0.58,2956.55
QUIMPER,+0.53,1740.71
ALBI,+0.50,1980.86
LEBLANC-MESNIL,+0.49,3231.48
ANGLET,+0.46,3751.45
MARIGNANE,+0.44,2585.42
BORDEAUX,+0.42,3089.05
CHARTRES,+0.40,2615.35
PAU,+0.39,2225.65
BONDY,+0.38,3220.71
VERSAILLES,+0.35,5145.10
STRASBOURG,+0.32,3030.33
VITRY-SUR-SEINE,+0.30,3313.50
BAGNOLET,+0.24,3771.40
MONTPELLIER,+0.23,3062.81
BRIVE-LA-GAILLARDE,+0.23,1897.20
CLICHY,+0.23,4592.77
AGEN,+0.19,1745.31
SCHILTIGHEIM,+0.18,2440.26
TALENCE,+0.01,2670.57
JOUE-LES-TOURS,+0.01,1900.15
LYON,+0.00,3207.91
GARGES-LES-GONESSE,-0.14,2416.39
CHOISY-LE-ROI,-0.16,3359.77
MANTES-LA-JOLIE,-0.17,2856.40
PUTEAUX,-0.21,5008.95
VIRY-CHATILLON,-0.21,3016.52
ROMANS-SUR-ISERE,-0.23,1754.65
ROUEN,-0.27,2706.06
CHATENAY-MALABRY,-0.35,4176.04
LACIOTAT,-0.36,4821.55
TOULON,-0.39,3026.87
VITROLLES,-0.46,2663.29
TREMBLAY-EN-FRANCE,-0.46,2771.74
LECANNET,-0.46,4064.22
COLOMBES,-0.54,3975.97
SAVIGNY-SUR-ORGE,-0.55,3112.65
LACOURNEUVE,-0.57,2824.31
BREST,-0.65,1654.87
MARSEILLE,-0.70,2882.63
CHAMBERY,-0.71,2567.17
AUXERRE,-0.84,1887.74
REZE,-0.93,2295.06
VINCENNES,-1.10,5856.93
SAINT-PRIEST,-1.12,2243.93
FREJUS,-1.14,4259.13
NICE,-1.16,4338.46
PERPIGNAN,-1.17,2192.42
CHAMPIGNY-SUR-MARNE,-1.21,3332.98
L'HAY-LES-ROSES,-1.30,3785.29
EVREUX,-1.45,2025.56
AIX-EN-PROVENCE,-1.45,4238.52
TARBES,-1.49,1524.21
EPINAL,-1.50,1407.58
LESMUREAUX,-1.56,2365.32
ALFORTVILLE,-1.61,4010.76
SAINT-HERBLAIN,-1.70,2113.49
SARTROUVILLE,-1.73,3112.50
SAINT-NAZAIRE,-1.80,2382.32
MONTAUBAN,-1.82,1754.71
VILLEPINTE,-1.83,2550.00
LORIENT,-1.90,1935.36
SEVRAN,-1.93,2363.12
RENNES,-1.98,2682.08
BESANCON,-2.08,2073.26
EVRY,-2.12,2337.54
BAGNEUX,-2.25,3875.00
AUBERVILLIERS,-2.26,3304.28
VENISSIEUX,-2.32,2220.36
SAINT-MALO,-2.33,3401.30
NOISY-LE-SEC,-2.39,3274.88
PESSAC,-2.41,2441.57
POITIERS,-2.51,1965.82
BOURGES,-2.55,1785.29
ANGERS,-2.61,2177.51
TOULOUSE,-2.63,3366.49
SALON-DE-PROVENCE,-2.63,2649.37
LEMANS,-2.65,1951.48
CONFLANS-SAINTE-HONORINE,-2.67,3168.60
AVIGNON,-2.70,2473.73
CHALON-SUR-SAONE,-2.76,1493.31
REIMS,-2.84,2540.59
MARTIGUES,-2.87,2723.63
SAINT-MARTIN-D'HERES,-2.99,2599.26
AUBAGNE,-3.00,2983.46
SAINT-CHAMOND,-3.02,1700.00
CLAMART,-3.09,4605.41
CRETEIL,-3.17,3401.51
SAINT-GERMAIN-EN-LAYE,-3.26,4766.77
BEAUVAIS,-3.31,1924.87
NANCY,-3.39,2239.86
CARCASSONNE,-3.41,1702.47
VALENCE,-3.44,1844.64
PONTAULT-COMBAULT,-3.44,3634.66
LIMOGES,-3.45,1611.71
LASEYNE-SUR-MER,-3.46,3209.44
SAINT-QUENTIN,-3.55,1417.59
IVRY-SUR-SEINE,-3.66,3884.17
ARLES,-3.91,2391.03
GRENOBLE,-4.11,3010.87
DIJON,-4.19,2402.83
CHALONS-EN-CHAMPAGNE,-4.46,2016.32
ANGOULEME,-4.49,1669.26
ALES,-4.53,1712.61
VIENNE,-4.62,2175.94
CLERMONT-FERRAND,-5.10,1915.65
LAROCHE-SUR-YON,-6.64,2114.93
ECHIROLLES,-6.85,2634.72
PERIGUEUX,-6.97,1670.34
FONTENAY-SOUS-BOIS,-7.07,4065.63
MULHOUSE,-7.89,1677.95
AULNAY-SOUS-BOIS,-15.51,2570.00